Stock,Sector,first_price,last_price,Growth%
Dr Reddys,Pharma,554.4883422851562,1368.2225341796875,146.7540667385308
HDFC Bank,Banking,605.529296875,877.0943603515625,44.84755153516906
HUL,FMCG,1749.931396484375,2301.0234375,31.492208330153566
ICICI Bank,Banking,519.137939453125,1284.7369384765625,147.47506218288376
ITC,FMCG,173.3952178955078,434.8786926269531,150.8020105197028
Infosys,IT,633.151123046875,1851.2144775390625,192.3811409558234
ONGC,Energy,85.37139892578125,216.39633178710935,153.47638027489316
Reliance,Energy,675.3241577148438,1205.8837890625,78.56369793477542
Sun Pharma,Pharma,406.0740051269531,1854.42431640625,356.67151627361403
TCS,IT,1866.11376953125,3947.24462890625,111.5221854827083
