Date,Open,High,Low,Close,Volume,Stock,Ticker,Sector,Year,Month,Month_Name,Quarter,Daily_return,Volatility_30D
2020-01-01,554.6038800587331,556.2407435416616,550.7909572268703,554.4883422851562,773895,Dr Reddys,DRREDDY.NS,Pharma,2020,1,January,1,,
2020-01-02,555.3357225484929,556.9918033394796,550.7910207809493,551.6961059570312,1494155,Dr Reddys,DRREDDY.NS,Pharma,2020,1,January,1,-0.5035698887045359,
2020-01-03,551.6960274754937,557.8775920354794,549.2214858166482,555.3549194335938,1723390,Dr Reddys,DRREDDY.NS,Pharma,2020,1,January,1,0.663193638138071,
2020-01-06,552.8707585117088,558.0316416603172,549.6355832932924,554.3824462890625,1788685,Dr Reddys,DRREDDY.NS,Pharma,2020,1,January,1,-0.1751084055441665,
2020-01-07,556.5296656514951,560.3810820227857,552.8804697961592,555.4127807617188,1788175,Dr Reddys,DRREDDY.NS,Pharma,2020,1,January,1,0.1858526509187053,
2020-01-08,553.6410690489881,559.4181932477602,551.9079435429458,557.92578125,1395115,Dr Reddys,DRREDDY.NS,Pharma,2020,1,January,1,0.45245636674668965,
2020-01-09,560.6891655235013,565.5034356711121,558.64791968235,562.4030151367188,1877480,Dr Reddys,DRREDDY.NS,Pharma,2020,1,January,1,0.8024784007449437,
2020-01-10,564.2324917223797,579.2529918856251,563.298551472001,564.8101806640625,5635735,Dr Reddys,DRREDDY.NS,Pharma,2020,1,January,1,0.4280143353709853,
2020-01-13,564.7908626606625,571.261212723561,561.4786428614342,568.9888916015625,2209320,Dr Reddys,DRREDDY.NS,Pharma,2020,1,January,1,0.7398434165239332,
2020-01-14,569.0081752487985,571.7041544784556,564.6175637125168,567.66015625,1785850,Dr Reddys,DRREDDY.NS,Pharma,2020,1,January,1,-0.23352571046201254,
2020-01-15,567.3423883789529,567.4097952045437,558.4552656299275,562.0466918945312,1924335,Dr Reddys,DRREDDY.NS,Pharma,2020,1,January,1,-0.9888776398455867,
2020-01-16,563.8472451671986,568.3726704501063,562.6244606225396,565.6670532226562,1917310,Dr Reddys,DRREDDY.NS,Pharma,2020,1,January,1,0.6441388910094936,
2020-01-17,567.0054752022664,587.1483646752363,566.158158970399,584.3272094726562,5585585,Dr Reddys,DRREDDY.NS,Pharma,2020,1,January,1,3.2987878901009626,
2020-01-20,585.9928323112293,593.1179743413351,583.8841800192658,589.1895141601562,4373565,Dr Reddys,DRREDDY.NS,Pharma,2020,1,January,1,0.8321201903105147,
2020-01-21,588.4096956344445,593.0795728094868,584.6160485121296,589.3533325195312,2853930,Dr Reddys,DRREDDY.NS,Pharma,2020,1,January,1,0.027804018136423636,
2020-01-22,589.3725325142227,597.9419563986277,586.8402218586177,589.661376953125,2798990,Dr Reddys,DRREDDY.NS,Pharma,2020,1,January,1,0.052268209340033955,
2020-01-23,588.3615420115939,592.8676915195423,582.3340667826044,585.0589599609375,2130840,Dr Reddys,DRREDDY.NS,Pharma,2020,1,January,1,-0.7805186454586721,
2020-01-24,586.1855074076317,586.772834247294,582.5651669402957,583.7591552734375,1363645,Dr Reddys,DRREDDY.NS,Pharma,2020,1,January,1,-0.22216644414552178,
2020-01-27,583.2968655433061,617.959605032722,577.2308978862457,614.06005859375,20699040,Dr Reddys,DRREDDY.NS,Pharma,2020,1,January,1,5.19065149498501,
2020-01-28,614.3008147111344,625.8454240674904,608.0903950345262,614.1371459960938,11511345,Dr Reddys,DRREDDY.NS,Pharma,2020,1,January,1,0.012553723575559061,
2020-01-29,614.1371242388491,616.5827520072943,596.815391846835,606.260986328125,6946015,Dr Reddys,DRREDDY.NS,Pharma,2020,1,January,1,-1.2824757009599397,
2020-01-30,607.0408542573099,610.4493357008233,600.5415908251639,607.5318603515625,3366300,Dr Reddys,DRREDDY.NS,Pharma,2020,1,January,1,0.20962490612081996,
2020-01-31,607.6090046201764,614.6571029485455,597.3738619042363,599.7617797851562,3341175,Dr Reddys,DRREDDY.NS,Pharma,2020,1,January,1,-1.2789585326290376,
2020-02-03,601.5911061138635,611.0270625982736,600.2720009697825,605.471435546875,2576210,Dr Reddys,DRREDDY.NS,Pharma,2020,2,February,1,0.9519872646376326,
2020-02-04,607.3682332839699,631.1700124440088,606.9927061556242,624.2855834960938,5149785,Dr Reddys,DRREDDY.NS,Pharma,2020,2,February,1,3.1073551689891676,
2020-02-05,622.9664996682205,625.8550614904842,601.1482552286154,603.3916625976562,4781145,Dr Reddys,DRREDDY.NS,Pharma,2020,2,February,1,-3.3468530190026824,
2020-02-06,609.9873106557008,611.758929180497,604.0176038499114,608.321533203125,2462660,Dr Reddys,DRREDDY.NS,Pharma,2020,2,February,1,0.8170266364379675,
2020-02-07,608.4948617292961,613.3380459364363,604.0946703211829,609.8140258789062,2676165,Dr Reddys,DRREDDY.NS,Pharma,2020,2,February,1,0.24534602086538904,
2020-02-10,609.7657576193512,611.0752836566624,599.4728465299619,606.4246826171875,1477975,Dr Reddys,DRREDDY.NS,Pharma,2020,2,February,1,-0.5557994926131404,
2020-02-11,608.5043855678596,617.3722910945202,603.7093919779851,614.5318603515625,3060520,Dr Reddys,DRREDDY.NS,Pharma,2020,2,February,1,1.3368812264346275,
2020-02-12,610.8633746090344,618.8454120468607,609.3035560387276,615.3984375,2843165,Dr Reddys,DRREDDY.NS,Pharma,2020,2,February,1,0.14101419378675928,1.5203077242944154
2020-02-13,620.6074951430671,642.5894670436737,615.6680497304693,640.2208251953125,8584320,Dr Reddys,DRREDDY.NS,Pharma,2020,2,February,1,4.033547403232163,1.6515442621179517
2020-02-14,636.4850132179533,641.8384793277246,631.0545610979312,636.3117065429688,3533430,Dr Reddys,DRREDDY.NS,Pharma,2020,2,February,1,-0.6105891121475415,1.6638059634093698
2020-02-17,640.4519641432685,643.5812397574122,633.0187592007477,634.626708984375,3203305,Dr Reddys,DRREDDY.NS,Pharma,2020,2,February,1,-0.26480693994271887,1.6650813070058677
2020-02-18,633.1727900701139,633.1727900701139,622.6295853985354,626.1151123046875,3486830,Dr Reddys,DRREDDY.NS,Pharma,2020,2,February,1,-1.3411973620380713,1.6969402760419805
2020-02-19,627.3956103142855,635.2525314563509,627.3956103142855,631.2759399414062,1509105,Dr Reddys,DRREDDY.NS,Pharma,2020,2,February,1,0.8242617907307848,1.698588226218548
2020-02-20,633.423066295212,647.9910508197778,623.938978681579,626.8756713867188,4622330,Dr Reddys,DRREDDY.NS,Pharma,2020,2,February,1,-0.69704360269075,1.7091678655488833
2020-02-24,627.2030742080725,627.2030742080725,609.7465277362853,611.66259765625,3143085,Dr Reddys,DRREDDY.NS,Pharma,2020,2,February,1,-2.4268087636605373,1.7840262041441113
2020-02-25,612.7602153935261,612.8179842739733,588.5636933726317,594.4467163085938,5005135,Dr Reddys,DRREDDY.NS,Pharma,2020,2,February,1,-2.8146042301137153,1.8685431542179867
2020-02-26,596.3917078728487,599.9542201612977,589.3243346412984,592.2225341796875,3810845,Dr Reddys,DRREDDY.NS,Pharma,2020,2,February,1,-0.37416004965390437,1.869747521556503
2020-02-27,595.8140649295591,595.8140649295591,583.3162383646696,590.624267578125,4677080,Dr Reddys,DRREDDY.NS,Pharma,2020,2,February,1,-0.2698760194554728,1.8591174312401317
2020-02-28,583.4895011959001,594.7549043092113,559.4662830811933,563.6739501953125,8299780,Dr Reddys,DRREDDY.NS,Pharma,2020,2,February,1,-4.563022358245316,2.0479669361364894
2020-03-02,570.2021862735355,577.1828782108364,553.8336672481403,559.5241088867188,4444330,Dr Reddys,DRREDDY.NS,Pharma,2020,3,March,1,-0.7362130726736305,1.9548002022352906
2020-03-03,566.1581636152096,592.7329110532351,564.4731690806406,586.1277465820312,5280400,Dr Reddys,DRREDDY.NS,Pharma,2020,3,March,1,4.754690150571994,2.1432091731841916
2020-03-04,590.2294886969441,613.6749595613339,584.6449473764018,610.7094116210938,9163610,Dr Reddys,DRREDDY.NS,Pharma,2020,3,March,1,4.193909123464801,2.2756409712857653
2020-03-05,610.642037010216,622.3792299756898,609.7176759858172,613.2321166992188,5228710,Dr Reddys,DRREDDY.NS,Pharma,2020,3,March,1,0.41307781247854614,2.276095400932036
2020-03-06,594.1193561365468,617.4685634802448,594.1193561365468,610.63232421875,5629460,Dr Reddys,DRREDDY.NS,Pharma,2020,3,March,1,-0.4239491718832977,2.271965932405429
2020-03-09,608.2829760313521,614.1082306093662,582.7288536438897,589.50732421875,4992640,Dr Reddys,DRREDDY.NS,Pharma,2020,3,March,1,-3.4595286168362605,2.3660446280016445
2020-03-11,591.1923602111639,593.8691225588442,574.4386769846468,577.8279418945312,5845705,Dr Reddys,DRREDDY.NS,Pharma,2020,3,March,1,-1.9812107236660603,2.18512692184184
2020-03-12,567.698741282534,574.3424579326055,539.8819316131109,548.9038696289062,3889695,Dr Reddys,DRREDDY.NS,Pharma,2020,3,March,1,-5.005654827073835,2.3553593134855655
2020-03-13,525.7084971017515,603.7863316969052,502.60964558950093,555.5858764648438,4930170,Dr Reddys,DRREDDY.NS,Pharma,2020,3,March,1,1.2173364418900823,2.36531359823683
2020-03-16,537.2724958033541,574.0438899367421,531.4953721925654,544.3880004882812,4715400,Dr Reddys,DRREDDY.NS,Pharma,2020,3,March,1,-2.015507674135608,2.3847742853905074
2020-03-17,544.9752828680643,559.225508193006,531.0620328857783,535.5778198242188,4684015,Dr Reddys,DRREDDY.NS,Pharma,2020,3,March,1,-1.6183642284841593,2.390192850892288
2020-03-18,539.5447744878886,539.5447744878886,504.73764273528764,513.865478515625,4366425,Dr Reddys,DRREDDY.NS,Pharma,2020,3,March,1,-4.054003079462831,2.4696586240966116
2020-03-19,502.2246358879317,516.0704814676299,480.47379637517554,505.296142578125,4838010,Dr Reddys,DRREDDY.NS,Pharma,2020,3,March,1,-1.6676224217773483,2.380353408169688
2020-03-20,508.5795120521554,567.8912969857032,508.5795120521554,557.92578125,7772855,Dr Reddys,DRREDDY.NS,Pharma,2020,3,March,1,10.415602700497129,3.0730491332320637
2020-03-23,516.1377968849689,586.7631623642509,516.1377968849689,533.1129150390625,4816170,Dr Reddys,DRREDDY.NS,Pharma,2020,3,March,1,-4.447341751325007,3.1610565158833506
2020-03-24,548.8267025138787,570.0094875231862,539.409963514768,550.357666015625,5340585,Dr Reddys,DRREDDY.NS,Pharma,2020,3,March,1,3.234727670272064,3.2282346376960107
